clusters,switch_rate,distance,mix_deviation,share,ghetto_rate,step,run_id,dissimilarity_index,scenario
28,0.4473684210526316,1.225,0.1801785714285714,0.5353982300884956,3,4,21,0.25,llm_baseline
29,0.5138888888888888,1.1875,0.1717261904761904,0.5120772946859904,2,4,22,0.2749999999999999,llm_baseline
25,0.5337837837837838,1.1875,0.2023511904761905,0.5248868778280543,4,4,23,0.325,llm_baseline
25,0.5310344827586206,1.1875,0.1824553571428571,0.5275229357798165,3,4,24,0.3249999999999999,llm_baseline
28,0.4615384615384615,1.25,0.2070238095238095,0.5180180180180181,6,4,25,0.375,llm_baseline
30,0.4897959183673469,1.15,0.1761309523809524,0.4976744186046511,3,4,26,0.1999999999999999,llm_baseline
25,0.5345911949685535,1.15,0.18874321880651,0.4801762114537445,3,4,27,0.25,llm_baseline
30,0.54,1.15,0.1603571428571428,0.4908256880733945,2,4,28,0.225,llm_baseline
26,0.5030674846625767,1.2,0.1917113095238095,0.5151515151515151,4,4,29,0.225,llm_baseline
25,0.4794520547945205,1.225,0.1762946428571428,0.5093457943925234,3,4,30,0.2249999999999999,llm_baseline
18,0.4285714285714285,1.2875,0.2335416666666666,0.5871559633027523,6,4,31,0.3999999999999999,llm_baseline
22,0.4691358024691358,1.2,0.187470238095238,0.4912280701754385,3,4,32,0.35,llm_baseline
29,0.5547945205479452,1.15,0.1537946428571428,0.4746543778801843,3,4,33,0.175,llm_baseline
25,0.44,1.175,0.1767857142857142,0.4711111111111111,2,4,34,0.2499999999999999,llm_baseline
18,0.5033112582781457,1.2625,0.1927529761904762,0.5688073394495413,5,4,35,0.35,llm_baseline
30,0.5208333333333334,1.1375,0.1808482142857143,0.4976076555023923,2,4,36,0.2249999999999999,llm_baseline
31,0.52,1.1125,0.1632886904761904,0.4724770642201835,2,4,37,0.25,llm_baseline
27,0.4802631578947368,1.1625,0.1810863095238095,0.497737556561086,2,4,38,0.325,llm_baseline
22,0.5126582278481012,1.225,0.1900297619047619,0.5108225108225108,4,4,39,0.325,llm_baseline
26,0.5632911392405063,1.1,0.1733184523809524,0.4977168949771689,3,4,40,0.275,llm_baseline
29,0.4901960784313725,1.1375,0.2003125,0.4955357142857143,1,4,41,0.375,llm_baseline
32,0.5,1.1875,0.1722321428571428,0.5164319248826291,5,4,42,0.2249999999999999,llm_baseline
27,0.4675324675324675,1.2,0.1825744047619047,0.4954954954954955,6,4,43,0.25,llm_baseline
29,0.474025974025974,1.1875,0.1724107142857142,0.4888888888888889,6,4,44,0.225,llm_baseline
25,0.5384615384615384,1.125,0.1493303571428571,0.4618834080717489,1,4,45,0.25,llm_baseline
26,0.5131578947368421,1.1125,0.1636011904761904,0.4434389140271493,1,4,46,0.2249999999999999,llm_baseline
30,0.4166666666666667,1.2625,0.1967857142857142,0.5255813953488372,8,4,47,0.25,llm_baseline
26,0.6026490066225165,1.1,0.1561011904761904,0.4570135746606334,0,4,48,0.1999999999999999,llm_baseline
23,0.4931506849315068,1.2,0.1826636904761905,0.4951923076923077,5,4,49,0.3249999999999999,llm_baseline
25,0.5785714285714286,1.15,0.1619047619047619,0.4541062801932367,4,4,50,0.2749999999999999,llm_baseline
30,0.5555555555555556,1.1375,0.1509672619047619,0.4608294930875576,0,4,51,0.175,llm_baseline
30,0.5167785234899329,1.15,0.1750297619047619,0.4798206278026906,1,4,52,0.175,llm_baseline
30,0.4527027027027027,1.2125,0.1810714285714285,0.5324074074074074,3,4,53,0.2749999999999999,llm_baseline
20,0.54375,1.15,0.1664434523809523,0.5043859649122807,2,4,54,0.2249999999999999,llm_baseline
28,0.506578947368421,1.1625,0.1680952380952381,0.4835680751173709,4,4,55,0.25,llm_baseline
34,0.4533333333333333,1.125,0.1687946428571428,0.5,0,4,56,0.2749999999999999,llm_baseline
29,0.5375,1.1125,0.1417261904761904,0.4541484716157205,0,4,57,0.175,llm_baseline
28,0.5486111111111112,1.125,0.1670684523809524,0.488262910798122,2,4,58,0.1499999999999999,llm_baseline
34,0.5337837837837838,1.0875,0.1568154761904761,0.4594594594594595,0,4,59,0.1999999999999999,llm_baseline
26,0.5192307692307693,1.15,0.1901636904761904,0.5,2,4,60,0.2999999999999999,llm_baseline
27,0.5103448275862069,1.2,0.1709821428571429,0.5277777777777778,5,4,61,0.2249999999999999,llm_baseline
