clusters,switch_rate,distance,mix_deviation,share,ghetto_rate,step,run_id,dissimilarity_index,scenario
25,0.5032258064516129,1.1625,0.15158227848101266,0.4864864864864865,2,4,24,0.17500000000000002,race_white_black
21,0.45454545454545453,1.3,0.21513392857142857,0.5565610859728507,12,4,25,0.325,race_white_black
26,0.47619047619047616,1.2,0.18110119047619047,0.4976958525345622,5,4,26,0.24999999999999997,race_white_black
35,0.4452054794520548,1.175,0.16876488095238096,0.48847926267281105,0,4,27,0.3,race_white_black
34,0.5,1.1125,0.15224702380952382,0.4618834080717489,2,4,28,0.22499999999999998,race_white_black
32,0.5072463768115942,1.1875,0.16403273809523808,0.5,1,4,29,0.24999999999999997,race_white_black
18,0.525974025974026,1.2875,0.2044940476190476,0.5601851851851852,11,4,30,0.375,race_white_black
30,0.5277777777777778,1.1375,0.17058035714285716,0.4854368932038835,4,4,31,0.25,race_white_black
19,0.5163398692810458,1.2375,0.1873363095238095,0.5135135135135135,6,4,32,0.325,race_white_black
30,0.5328947368421053,1.075,0.15483630952380953,0.41935483870967744,0,4,33,0.19999999999999998,race_white_black
30,0.4863013698630137,1.125,0.1838839285714286,0.44954128440366975,2,4,34,0.27499999999999997,race_white_black
24,0.5263157894736842,1.1125,0.17678571428571427,0.48598130841121495,1,4,35,0.3,race_white_black
34,0.5197368421052632,1.075,0.14379464285714283,0.463302752293578,1,4,36,0.39999999999999997,race_white_black
25,0.5763888888888888,1.1,0.14668154761904761,0.48095238095238096,0,4,37,0.19999999999999998,race_white_black
25,0.49333333333333335,1.225,0.2016815476190476,0.5296803652968036,5,4,38,0.175,race_white_black
32,0.5069444444444444,1.2,0.16848214285714286,0.4722222222222222,4,4,39,0.225,race_white_black
28,0.4407894736842105,1.1875,0.21117559523809523,0.5113122171945701,6,4,40,0.35,race_white_black
22,0.4634146341463415,1.1875,0.18363095238095237,0.4698275862068966,3,4,41,0.25,race_white_black
36,0.4420289855072464,1.1875,0.19080357142857143,0.4492753623188406,2,4,42,0.22499999999999998,race_white_black
34,0.42758620689655175,1.1875,0.18043154761904762,0.5,6,4,43,0.2,race_white_black
30,0.5771812080536913,1.05,0.15038690476190478,0.4318181818181818,0,4,44,0.1,race_white_black
26,0.52,1.175,0.1690029761904762,0.5,4,4,45,0.225,race_white_black
21,0.5866666666666667,1.2375,0.18668154761904762,0.502262443438914,6,4,46,0.275,race_white_black
29,0.5068493150684932,1.1625,0.16933035714285713,0.5071090047393365,3,4,47,0.22499999999999998,race_white_black
31,0.5095541401273885,1.175,0.16642857142857143,0.5,3,4,48,0.25,race_white_black
29,0.503448275862069,1.15,0.15610119047619048,0.46511627906976744,1,4,49,0.15,race_white_black
23,0.6,1.0625,0.13736607142857143,0.45132743362831856,1,6,50,0.22499999999999998,race_white_black
31,0.5273972602739726,1.0625,0.14639880952380951,0.4549763033175355,1,4,51,0.19999999999999998,race_white_black
32,0.45774647887323944,1.2125,0.1961904761904762,0.5118483412322274,4,4,52,0.325,race_white_black
26,0.551948051948052,1.175,0.15336309523809524,0.5132743362831859,1,4,53,0.175,race_white_black
31,0.506578947368421,1.1625,0.19254464285714284,0.4955357142857143,6,4,54,0.325,race_white_black
29,0.4791666666666667,1.2,0.17244047619047617,0.5047169811320755,6,4,55,0.275,race_white_black
28,0.37341772151898733,1.3375,0.22760416666666666,0.5770925110132159,9,4,56,0.45,race_white_black
28,0.5608108108108109,1.1125,0.15683035714285715,0.48623853211009177,2,4,57,0.24999999999999997,race_white_black
29,0.5912408759124088,1.1625,0.1713095238095238,0.46445497630331756,3,4,58,0.19999999999999998,race_white_black
18,0.551948051948052,1.3125,0.17379464285714286,0.5580357142857143,7,4,59,0.30000000000000004,race_white_black
28,0.4788732394366197,1.1875,0.1738988095238095,0.47706422018348627,2,4,60,0.2,race_white_black
23,0.4342105263157895,1.2875,0.19872023809523812,0.55,10,4,61,0.325,race_white_black
25,0.4931506849315068,1.2375,0.20508928571428572,0.5471698113207547,5,4,62,0.35000000000000003,race_white_black
24,0.5657894736842105,1.175,0.1840327380952381,0.5265486725663717,3,4,63,0.225,race_white_black
33,0.5675675675675675,1.1125,0.16269345238095237,0.45132743362831856,3,4,64,0.125,race_white_black
25,0.5159235668789809,1.125,0.15375,0.5022026431718062,1,4,65,0.17500000000000002,race_white_black
26,0.5328947368421053,1.15,0.17476190476190476,0.4618834080717489,3,4,66,0.25,race_white_black
22,0.46835443037974683,1.3375,0.21270833333333336,0.5350877192982456,13,4,67,0.3,race_white_black
32,0.5072463768115942,1.175,0.15782738095238097,0.47317073170731705,2,4,68,0.17500000000000002,race_white_black
27,0.49019607843137253,1.1625,0.16980654761904762,0.4977578475336323,2,4,69,0.225,race_white_black
25,0.5197368421052632,1.0875,0.17163690476190477,0.41013824884792627,1,4,70,0.22499999999999998,race_white_black
31,0.506578947368421,1.1,0.14165178571428572,0.4608294930875576,0,4,71,0.175,race_white_black
26,0.5,1.1875,0.15114583333333334,0.48214285714285715,0,4,72,0.225,race_white_black
32,0.5,1.125,0.1472470238095238,0.49327354260089684,0,4,73,0.27499999999999997,race_white_black
22,0.46258503401360546,1.2125,0.19102678571428572,0.5229357798165137,7,4,74,0.35000000000000003,race_white_black
30,0.46835443037974683,1.125,0.1460267857142857,0.4711111111111111,2,4,75,0.275,race_white_black
30,0.503448275862069,1.2375,0.16763392857142856,0.4835680751173709,4,4,76,0.15,race_white_black
23,0.4805194805194805,1.225,0.18543154761904762,0.5576036866359447,1,4,77,0.35000000000000003,race_white_black
31,0.5070422535211268,1.125,0.17077380952380952,0.44339622641509435,0,4,78,0.175,race_white_black
21,0.5369127516778524,1.2,0.17175595238095237,0.5137614678899083,9,4,79,0.27499999999999997,race_white_black
24,0.5496688741721855,1.175,0.15809523809523812,0.46017699115044247,2,4,80,0.25,race_white_black
29,0.5273972602739726,1.175,0.1887202380952381,0.5,5,4,81,0.3,race_white_black
