run_id,scenario_key,scenario,converged,convergence_step,dissimilarity_index,clusters,switch_rate,distance,mix_deviation,share,ghetto_rate,initial_dissimilarity_index,initial_clusters,initial_switch_rate,initial_distance,initial_mix_deviation,initial_share,initial_ghetto_rate,final_step,n_steps,stop_reason,experiment,llm_model,metrics_source
10,llm_baseline,baseline,True,11.0,0.21875,68,0.4842105263157895,1.296875,0.18606770833333336,0.5878661087866108,34,0.15000000000000002,101,0.4976958525345622,1.159375,0.16231770833333334,0.5079533404029692,8,15,16,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
11,llm_baseline,baseline,True,11.0,0.15625,62,0.48114630467571645,1.290625,0.1984858630952381,0.578125,35,0.11875,96,0.5110062893081762,1.15,0.16704241071428572,0.49356223175965663,11,15,16,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
12,llm_baseline,baseline,True,11.0,0.22499999999999998,51,0.44613050075872535,1.50625,0.22580357142857146,0.6381856540084389,56,0.15000000000000002,87,0.47987616099071206,1.2125,0.18687127976190476,0.5180851063829788,14,15,16,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
13,llm_baseline,baseline,True,10.0,0.35000000000000003,57,0.45857988165680474,1.59375,0.2315029761904762,0.6231884057971014,65,0.20625000000000002,93,0.5053598774885145,1.16875,0.17334449404761906,0.5037037037037037,7,14,15,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
14,llm_baseline,baseline,True,6.0,0.30625,62,0.48244274809160304,1.3875,0.20206473214285717,0.6101694915254238,48,0.16875,96,0.5251141552511416,1.128125,0.15883184523809524,0.4873417721518987,9,10,11,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
15,llm_baseline,baseline,True,5.0,0.19375,62,0.49390243902439024,1.328125,0.1934337797619048,0.5891553701772679,39,0.14375,89,0.515015015015015,1.153125,0.16106770833333334,0.5057351407716372,6,9,10,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
16,llm_baseline,baseline,True,9.0,0.21875,63,0.4823008849557522,1.35,0.18340773809523808,0.5752577319587628,33,0.125,88,0.518796992481203,1.128125,0.15020833333333333,0.49365750528541225,6,13,14,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
17,llm_baseline,baseline,True,5.0,0.11250000000000002,64,0.48558421851289835,1.325,0.19142857142857142,0.5956112852664577,40,0.11250000000000002,94,0.48628048780487804,1.16875,0.17117559523809525,0.5063559322033898,13,9,10,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
18,llm_baseline,baseline,True,4.0,0.19375,52,0.4493865030674847,1.41875,0.2153794642857143,0.6326963906581741,56,0.1375,91,0.4899536321483771,1.175,0.187132407822063,0.5095541401273885,12,8,9,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
19,llm_baseline,baseline,True,11.0,0.07500000000000001,68,0.49851632047477745,1.290625,0.18399925595238092,0.5745118191161357,31,0.06250000000000001,118,0.5038402457757296,1.121875,0.15824404761904762,0.4834224598930481,2,15,16,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
